gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1457870074.00	41.173860600	-8.601283233	131.0	11.318	260.20	1.5	?	?
1457870075.00	41.173844000	-8.601421500	129.2	11.678	267.90	1.5	?	?
1457870076.00	41.173833167	-8.601563783	128.5	11.935	269.20	1.5	?	?
1457870077.00	41.173823900	-8.601714600	128.0	12.552	268.60	1.5	?	?
1457870078.00	41.173812900	-8.601871200	127.5	12.913	268.00	1.5	?	?
1457870079.00	41.173803450	-8.602031567	127.1	13.273	267.70	1.5	?	?
1457870080.00	41.173795133	-8.602195583	126.5	13.581	267.50	1.5	?	?
1457870081.00	41.173787417	-8.602362783	125.9	13.839	267.50	1.5	?	?
1457870082.00	41.173780550	-8.602531433	125.3	14.044	267.60	1.5	?	?
1457870083.00	41.173774350	-8.602698550	124.9	13.993	267.70	1.5	?	?
1457870084.00	41.173768900	-8.602863883	124.5	13.787	267.80	1.5	?	?
1457870085.00	41.173763817	-8.603024983	123.8	13.324	267.60	1.5	?	?
1457870086.00	41.173757383	-8.603177317	123.5	12.501	267.00	1.5	?	?
1457870087.00	41.173751183	-8.603316050	123.6	11.421	266.60	2.1	?	?
1457870088.00	41.173745850	-8.603441000	123.6	10.135	266.70	1.5	?	?
1457870089.00	41.173742100	-8.603547917	123.2	8.591	266.90	1.5	?	?
1457870090.00	41.173739833	-8.603632000	123.1	6.739	268.00	1.5	?	?
1457870091.00	41.173746517	-8.603695333	121.7	4.990	275.30	1.3	?	?
1457870092.00	41.173762300	-8.603744467	121.3	4.064	300.50	1.3	?	?
1457870093.00	41.173791367	-8.603771767	120.3	3.910	329.90	1.3	?	?
1457870094.00	41.173826650	-8.603782083	120.0	4.527	356.40	1.4	?	?
1457870095.00	41.173871200	-8.603779717	119.5	5.659	4.20	1.6	?	?
1457870096.00	41.173928150	-8.603780917	119.3	6.945	359.30	1.6	?	?
1457870097.00	41.173999583	-8.603781883	118.3	7.871	356.80	1.6	?	?
1457870098.00	41.174070533	-8.603786133	117.8	8.385	356.60	1.6	?	?
1457870099.00	41.174146400	-8.603789567	117.2	8.694	358.20	1.6	?	?
